"model","variable","ctag","vtag","scenario","year","type","units","latbox","value"
"CanESM2","nbp","carbon_cycle","nbp","rcp85",2006,"Simulated","PgC/yr","global",0.0308151866453465
"CanESM2","nbp","carbon_cycle","nbp","rcp85",2007,"Simulated","PgC/yr","global",-0.326880577898618
"CanESM2","nbp","carbon_cycle","nbp","rcp85",2008,"Simulated","PgC/yr","global",0.634005739366679
"CanESM2","nbp","carbon_cycle","nbp","rcp85",2009,"Simulated","PgC/yr","global",0.0481539502090761
"CanESM2","nbp","carbon_cycle","nbp","rcp85",2010,"Simulated","PgC/yr","global",-1.23980630472428
"CanESM2","nbp","carbon_cycle","nbp","rcp85",2011,"Simulated","PgC/yr","global",1.04117133008812
"CanESM2","nbp","carbon_cycle","nbp","rcp85",2012,"Simulated","PgC/yr","global",1.10064424912206
"CanESM2","nbp","carbon_cycle","nbp","rcp85",2013,"Simulated","PgC/yr","global",0.501604107548998
"CanESM2","nbp","carbon_cycle","nbp","rcp85",2014,"Simulated","PgC/yr","global",-0.0149339053211042
"CanESM2","nbp","carbon_cycle","nbp","rcp85",2015,"Simulated","PgC/yr","global",-0.500447783954739
"CanESM2","nbp","carbon_cycle","nbp","rcp85",2016,"Simulated","PgC/yr","global",-0.12347401500729
"CanESM2","nbp","carbon_cycle","nbp","rcp85",2017,"Simulated","PgC/yr","global",1.07253057514365
"CanESM2","nbp","carbon_cycle","nbp","rcp85",2018,"Simulated","PgC/yr","global",1.55032591142271
"CanESM2","nbp","carbon_cycle","nbp","rcp85",2019,"Simulated","PgC/yr","global",-1.5138351586876
"CanESM2","nbp","carbon_cycle","nbp","rcp85",2020,"Simulated","PgC/yr","global",-0.816471471400652
"CanESM2","nbp","carbon_cycle","nbp","rcp85",2021,"Simulated","PgC/yr","global",1.07234464733872
"CanESM2","nbp","carbon_cycle","nbp","rcp85",2022,"Simulated","PgC/yr","global",-0.777266732523967
"CanESM2","nbp","carbon_cycle","nbp","rcp85",2023,"Simulated","PgC/yr","global",0.566115978957238
"CanESM2","nbp","carbon_cycle","nbp","rcp85",2024,"Simulated","PgC/yr","global",0.229542079561251
"CanESM2","nbp","carbon_cycle","nbp","rcp85",2025,"Simulated","PgC/yr","global",0.903863276162071
"CanESM2","nbp","carbon_cycle","nbp","rcp85",2026,"Simulated","PgC/yr","global",0.443306259320246
"CanESM2","nbp","carbon_cycle","nbp","rcp85",2027,"Simulated","PgC/yr","global",-0.361488984538779
"CanESM2","nbp","carbon_cycle","nbp","rcp85",2028,"Simulated","PgC/yr","global",-0.0777029585292574
"CanESM2","nbp","carbon_cycle","nbp","rcp85",2029,"Simulated","PgC/yr","global",1.12521065608893
"CanESM2","nbp","carbon_cycle","nbp","rcp85",2030,"Simulated","PgC/yr","global",1.52042007228674
"CanESM2","nbp","carbon_cycle","nbp","rcp85",2031,"Simulated","PgC/yr","global",0.195445320244452
"CanESM2","nbp","carbon_cycle","nbp","rcp85",2032,"Simulated","PgC/yr","global",-1.71523373989336
"CanESM2","nbp","carbon_cycle","nbp","rcp85",2033,"Simulated","PgC/yr","global",2.39835993875926
"CanESM2","nbp","carbon_cycle","nbp","rcp85",2034,"Simulated","PgC/yr","global",2.93500613864227
"CanESM2","nbp","carbon_cycle","nbp","rcp85",2035,"Simulated","PgC/yr","global",1.16533625075944
